query_id,query_title_id,v1_unigrams_q-len,v1_unigrams_t-len,v1_unigrams_dice-ratio,v1_unigrams_jaccard-ratio,v1_unigrams_edit-seq-ratio,v1_unigrams_edit-set-ratio,v1_bigrams_q-len,v1_bigrams_t-len,v1_bigrams_dice-ratio,v1_bigrams_jaccard-ratio,v1_bigrams_edit-seq-ratio,v1_bigrams_edit-set-ratio,v1_trigrams_q-len,v1_trigrams_t-len,v1_trigrams_dice-ratio,v1_trigrams_jaccard-ratio,v1_trigrams_edit-seq-ratio,v1_trigrams_edit-set-ratio
661,7,1.6094379124341003,2.3978952727983707,0.5714285714285714,0.4,0.5714285714285714,0.5714285714285714,1.3862943611198906,2.302585092994046,0.3333333333333333,0.2,0.4666666666666666,0.4666666666666666,1.0986122886681098,2.1972245773362196,0.0,0.0,0.32148148148148153,0.32148148148148153
677,2,2.1972245773362196,3.044522437723423,0.24,0.13636363636363635,0.3520408163265305,0.4220521541950113,2.0794415416798357,2.995732273553991,0.16666666666666666,0.09090909090909091,0.3390331031197905,0.38953917599428434,1.9459101490553132,2.9444389791664403,0.08695652173913043,0.045454545454545456,0.31698139025725247,0.3469196618621906
470,1,1.791759469228055,2.302585092994046,0.2857142857142857,0.16666666666666666,0.4761904761904762,0.5204081632653061,1.6094379124341003,2.1972245773362196,0.0,0.0,0.4410331384015595,0.4410331384015595,1.3862943611198906,2.0794415416798357,0.0,0.0,0.4049640015157257,0.4049640015157257
330,4,1.0986122886681098,2.302585092994046,0.2,0.1111111111111111,0.2727272727272727,0.2727272727272727,0.6931471805599453,2.1972245773362196,0.0,0.0,0.15555555555555559,0.15555555555555559,0.6931471805599453,2.0794415416798357,0.0,0.0,0.15217391304347827,0.15217391304347827
422,1,1.0986122886681098,2.6390573296152584,0.13333333333333333,0.07142857142857142,0.22222222222222215,0.22222222222222227,0.6931471805599453,2.5649493574615367,0.0,0.0,0.1346153846153846,0.1346153846153846,0.6931471805599453,2.4849066497880004,0.0,0.0,0.12698412698412698,0.12698412698412698
266,10,1.0986122886681098,2.995732273553991,0.2,0.1111111111111111,0.14285714285714285,0.19047619047619047,0.6931471805599453,2.9444389791664403,0.0,0.0,0.06578947368421052,0.06578947368421052,0.6931471805599453,2.8903717578961645,0.0,0.0,0.05847953216374277,0.05847953216374277
580,2,1.791759469228055,2.833213344056216,0.3157894736842105,0.1875,0.3523809523809524,0.4,1.6094379124341003,2.772588722239781,0.0,0.0,0.29866975130133033,0.32523616734143057,1.3862943611198906,2.70805020110221,0.0,0.0,0.2451345755693581,0.2704408079021081
170,2,1.791759469228055,2.70805020110221,0.42105263157894735,0.26666666666666666,0.46783625730994155,0.46783625730994155,1.6094379124341003,2.6390573296152584,0.23529411764705882,0.13333333333333333,0.4043343653250774,0.4043343653250774,1.3862943611198906,2.5649493574615367,0.13333333333333333,0.07142857142857142,0.318052738336714,0.318052738336714
666,6,1.791759469228055,2.833213344056216,0.2,0.1111111111111111,0.2829931972789116,0.3348450491307634,1.6094379124341003,2.772588722239781,0.0,0.0,0.24846806010240918,0.2536823341776903,1.3862943611198906,2.70805020110221,0.0,0.0,0.2264203594151132,0.22642035941511332
463,11,1.0986122886681098,2.3978952727983707,0.0,0.0,0.16666666666666666,0.16666666666666666,0.6931471805599453,2.302585092994046,0.0,0.0,0.10909090909090899,0.10909090909090917,0.6931471805599453,2.1972245773362196,0.0,0.0,0.1111111111111111,0.1111111111111111
